510260;CAMPINÁPOLIS;MT;GARÇAS ARAGUAIA;BARRA DO GARÇAS;LESTE;220km;600km;https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/MatoGrosso_Municip_Campinapolis.svg/1200px-MatoGrosso_Municip_Campinapolis.svg.png
510263;CAMPO NOVO DO PARECIS;MT;MÉDIO NORTE MATOGROSSENSE;TANGARÁ DA SERRA;CENTRO NORTE;150km;400km;https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/MatoGrosso_Municip_CampoNovodoParecis.svg/300px-MatoGrosso_Municip_CampoNovodoParecis.svg.png
510267;CAMPO VERDE;MT;SUL MATOGROSSENSE;RONDONÓPOLIS;SUL;150km;150km;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/MatoGrosso_Municip_CampoVerde.svg/300px-MatoGrosso_Municip_CampoVerde.svg.png
510268;CAMPOS DE JÚLIO;MT;SUDOESTE MATOGROSSENSE;PONTES E LACERDA;OESTE;90km;720km;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/MatoGrosso_Municip_CamposdeJulio.svg/300px-MatoGrosso_Municip_CamposdeJulio.svg.png
510269;CANABRAVA DO NORTE;MT;ARAGUAIA XINGU;PORTO ALEGRE DO NORTE;LESTE;220km;1140km;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/MatoGrosso_Municip_CanabravadoNorte.svg/300px-MatoGrosso_Municip_CanabravadoNorte.svg.png
510270;CANARANA;MT;MÉDIO ARAGUAIA;ÁGUA BOA;LESTE;96km;850km;https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/MatoGrosso_Municip_Canarana.svg/300px-MatoGrosso_Municip_Canarana.svg.png
510279;CARLINDA;MT;ALTO TAPAJÓS;ALTA FLORESTA;NORTE;35km;770km;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/MatoGrosso_Municip_Carlinda.svg/1200px-MatoGrosso_Municip_Carlinda.svg.png
510285;CASTANHEIRA;MT;NOROESTE MATOGROSSENSE;JUÍNA;CENTRO NORTE;50km;800km;https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/MatoGrosso_Municip_Castanheira.svg/1200px-MatoGrosso_Municip_Castanheira.svg.png
510300;CHAPADA DOS GUIMARÃES;MT;BAIXADA CUIABANA;CUIABÁ;CENTRO NORTE;70km;70km;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/MatoGrosso_Municip_ChapadadosGuimaraes.svg/300px-MatoGrosso_Municip_ChapadadosGuimaraes.svg.png
510305;CLAUDIA;MT;TELES PIRES;SINOP;NORTE;90km;620km;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/MatoGrosso_Municip_Claudia.svg/1200px-MatoGrosso_Municip_Claudia.svg.png
510310;COCALINHO;MT;MÉDIO ARAGUAIA;ÁGUA BOA;LESTE;168km;780km;https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/MatoGrosso_Municip_Cocalinho.svg/1200px-MatoGrosso_Municip_Cocalinho.svg.png
510320;COLÍDER;MT;NORTE MATOGROSSENSE;COLÍDER;LESTE;0km;670km;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/MatoGrosso_Municip_Colider.svg/300px-MatoGrosso_Municip_Colider.svg.png
510325;COLNIZA;MT;NOROESTE MATOGROSSENSE;JUÍNA;CENTRO NORTE;350km;1120km;https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/MatoGrosso_Municip_Colniza.svg/1200px-MatoGrosso_Municip_Colniza.svg.png
510330;COMODORO;MT;SUDOESTE MATOGROSSENSE;PONTES E LACERDA;OESTE;200km;700km;https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/MatoGrosso_Municip_Comodoro.svg/300px-MatoGrosso_Municip_Comodoro.svg.png
510335;CONFRESA;MT;ARAGUAIA XINGU;PORTO ALEGRE DO NORTE;LESTE;28km;1170km;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/MatoGrosso_Municip_Confresa.svg/300px-MatoGrosso_Municip_Confresa.svg.png
510336;CONQUISTA D'OESTE;MT;SUDOESTE MATOGROSSENSE;PONTES E LACERDA;OESTE;94km;510km;https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/MatoGrosso_Municip_ConquistaDOeste.svg/300px-MatoGrosso_Municip_ConquistaDOeste.svg.png
510337;COTRIGUAÇU;MT;NOROESTE MATOGROSSENSE;JUÍNA;CENTRO NORTE;210km;950km;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/MatoGrosso_Municip_Cotriguacu.svg/300px-MatoGrosso_Municip_Cotriguacu.svg.png
510340;CUIABÁ;MT;BAIXADA CUIABANA;CUIABÁ;CENTRO NORTE;0km;0km;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Brazil_Mato_Grosso_Cuiaba_location_map.svg/300px-Brazil_Mato_Grosso_Cuiaba_location_map.svg.png
510343;CURVELÂNDIA;MT;OESTE MATOGROSSENSE;CÁCERES;OESTE;55km;280km;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/MatoGrosso_Municip_Curvelandia.svg/1200px-MatoGrosso_Municip_Curvelandia.svg.png
510345;DENISE;MT;MÉDIO NORTE MATOGROSSENSE;TANGARÁ DA SERRA;CENTRO NORTE;63km;210km;https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/MatoGrosso_Municip_Denise.svg/300px-MatoGrosso_Municip_Denise.svg.png
510350;DIAMANTINO;MT;CENTRO NORTE;DIAMANTINO;CENTRO NORTE;0km;215km;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/MatoGrosso_Municip_Diamantino.svg/300px-MatoGrosso_Municip_Diamantino.svg.png
510360;DOM AQUINO;MT;SUL MATOGROSSENSE;RONDONÓPOLIS;SUL;130km;180km;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/MatoGrosso_Municip_DomAquino.svg/300px-MatoGrosso_Municip_DomAquino.svg.png
510370;FELIZ NATAL;MT;TELES PIRES;SINOP;NORTE;120km;520km;https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Location_of_Feliz_Natal_in_Mato_Grosso.svg/300px-Location_of_Feliz_Natal_in_Mato_Grosso.svg.png
510380;FIGUEIRÓPOLIS D'OESTE;MT;SUDOESTE MATOGROSSENSE;PONTES E LACERDA;OESTE;110km;600km;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/MatoGrosso_Municip_FigueiropolisDOeste.svg/300px-MatoGrosso_Municip_FigueiropolisDOeste.svg.png
510385;GAÚCHA DO NORTE;MT;MÉDIO ARAGUAIA;ÁGUA BOA;LESTE;255km;595km;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/MatoGrosso_Municip_GauchadoNorte.svg/1200px-MatoGrosso_Municip_GauchadoNorte.svg.png
510390;GENERAL CARNEIRO;MT;GARÇAS ARAGUAIA;BARRA DO GARÇAS;LESTE;63km;460km;https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/MatoGrosso_Municip_GeneralCarneiro.svg/1200px-MatoGrosso_Municip_GeneralCarneiro.svg.png
